date,rank,song,artist,last-week,peak-rank,weeks-on-board
11/6/2021,1,Easy On Me,Adele,1,1,3
11/6/2021,2,Stay,The Kid LAROI & Justin Bieber,2,1,16
11/6/2021,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,14
11/6/2021,4,Fancy Like,Walker Hayes,4,3,19
11/6/2021,5,Bad Habits,Ed Sheeran,5,2,18
11/6/2021,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6,1,8
11/6/2021,7,Shivers,Ed Sheeran,9,7,7
11/6/2021,8,Good 4 U,Olivia Rodrigo,7,1,24
11/6/2021,9,Need To Know,Doja Cat,11,9,20
11/6/2021,10,Levitating,Dua Lipa,8,2,56
11/6/2021,11,Essence,Wizkid Featuring Justin Bieber & Tems,12,9,17
